giocatore,ruolo,numero,squadra,eta,presenze nazionale fino 18-19,presenze nazionale 19-20,presenze inizio club,presenze panchina club,rank presenze,convocato?,massime presenze nazionale attese,rank talento,rank talento ultimo match,rank talento inizio stagione,rank talento cambiamento da ultimo match,rank talento cambiamento da inizio stagione
boni,CE,12,zebre,26,11,0,,,80,,44,34,34,31,,-3
castello,CE,12,zebre,28,18,0,,,82,,31,44,44,33,,-11
modena f.,CE,12,rovigo,19,0,0,1,1,99,,0,56,56,55,,-1
moscardi,CE,12,rovigo,19,0,0,,2,116,y,0,56,56,55,,-1
scagnolari,CE,12,mogliano,20,0,0,,1,122,,0,56,56,55,,-1
marzocchi,CE,12,valorugby,19,0,0,,,130,,0,56,56,55,,-1
mazza,CE,12,calvisano,20,0,0,,,138,,0,56,56,55,,-1
chibalie,CE,12,colorno,21,0,0,,,142,,0,56,56,55,,-1
forcucci,CE,12,fiamme oro,21,0,0,,,143,,0,56,56,55,,-1
minozzi,WI / FB,14,london wasps,23,10,6,x,x,4,Y,79,7,7,9,,2
benvenuti,WI / FB,14,benetton,28,56,6,,,9,Y,75,10,11,13,1,3
hayward,WI / FB,14,benetton,32,17,6,,,12,Y,26,47,48,46,1,-1
bellini,WI / FB,14,zebre,25,17,5,,,16,Y,65,16,16,17,,1
padovani,WI / FB,14,zebre,26,20,4,,,23,Y,57,22,23,24,1,2
esposito,WI / FB,14,benetton,26,20,1,1,,34,,54,26,27,24,1,-2
bruno,WI / FB,14,zebre,23,0,0,2,1,46,,0,56,56,55,,-1
sperandio,WI / FB,14,benetton,23,7,0,2,1,48,,70,15,15,11,,-4
biondelli,WI / FB,14,zebre,21,0,0,2,,50,,0,56,56,55,,-1
sarto,WI / FB,14,benetton,27,34,0,2,,52,,57,22,23,20,1,-2
cioffi,WI / FB,14,zebre/rovigo,22,0,0,1,,60,,0,56,56,55,,-1
di giulio,WI / FB,14,zebre,25,0,0,,,78,,0,56,56,55,,-1
venditti,WI / FB,14,zebre,29,44,0,,,85,,47,32,31,29,-1,-3
mba,WI / FB,14,fiamme oro,19,0,0,2,,91,y,0,56,56,55,,-1
de masi,WI / FB,14,petrarca,20,0,0,2,,92,,0,56,56,55,,-1
coppo,WI / FB,14,petrarca,21,0,0,2,,95,,0,56,56,55,,-1
d'onofrio g.,WI / FB,14,fiamme oro,21,0,0,2,,96,,0,56,56,55,,-1
mastandrea,WI / FB,14,rovigo,19,0,0,1,,103,(y),0,56,56,55,,-1
da re,WI / FB,14,mogliano,20,0,0,1,,104,,0,56,56,55,,-1
bronzini a.,WI / FB,14,san dona,22,0,0,1,,110,,0,56,56,55,,-1
peruzzo,WI / FB,14,calvisano,19,0,0,,,132,,0,56,56,55,,-1
trulla,WI / FB,14,calvisano,19,0,0,,,133,y,0,56,56,55,,-1
abanga,WI / FB,14,mogliano,21,0,0,,,139,,0,56,56,55,,-1
